index,chemicalFormula Clean,Band gap values Clean,Band gap units,Band gap method,Reliability
988,Sn1Te1,0.33,eV,,2
989,Sn1Te1,0.36,eV,Absorption,2
990,Sn1Te1,0.3,eV,Thermal activation,2
991,Sn1Te1,0.26,eV,Absorption,2
992,Sn1I4,2.38,eV,Absorption,1
993,Sn1I2,2.4,eV,Reflection,1
994,Sb2O3,3.31,eV,Reflection,1
995,Sb2O3,3.2,eV,Reflection,2
996,Sb2O3,4.2,eV,Photoconduction,2
997,Sb1Si1,1.9,eV,Thermal activation,1
998,Sb1Si1,1.9,eV,,2
999,Sb2S3,1.7,eV,Absorption,1
1000,Sb2S3,1.72,eV,Absorption,2
1001,Sb2S3,1.63,eV,Absorption,2
1002,Sb2S3,1.67,eV,Absorption,2
1003,Sb2S3,1.69,eV,Absorption,2
1004,Sb2S3,1.7,eV,Absorption,2
1005,Sb2S3,1.71,eV,Absorption,2
1006,Sb2S3,1.7,eV,,2
1007,Sb2S3,1.92,eV,Reflection,2
1008,Sb0.605As0.395,0.009000000000000001,eV,Thermal activation,1
1009,Sb0.71As0.29,0.125,eV,Thermal activation,2
1010,Sb2Se3,1.2,eV,Absorption,1
1011,Sb2Se3,1.4,eV,,2
1012,Sb2Se3,1.1,eV,Absorption,2
1013,Sb2Se3,1.15,eV,Absorption,2
1014,Sb,0.1,eV,Reflection,1
1015,Sb,0.10099999999999999,eV,Reflection,2
1016,Sb2Te3,0.3,eV,Absorption,1
1017,Sb2Te3,0.3,eV,Reflection,2
1018,Sb2Te3,0.3,eV,,2
1019,Sb1I3,2.22,eV,Estimated,1
1020,Sb1I3,2.12,eV,Absorption,2
1021,Sb1I3,2.49,eV,Absorption,2
1022,Te1O2,3.0,eV,Photoconduction,1
1023,Te,0.332,eV,Absorption,1
1024,Te,0.35,eV,,2
1025,Te,0.33399999999999996,eV,Magnetoabsorption,2
1026,Te,0.335,eV,Absorption,2
1027,Te,0.33399999999999996,eV,Magnetoabsorption,2
1028,Te,0.337,eV,Absorption,2
1029,Te,0.33399999999999996,eV,,2
1030,Te,0.336,eV,Absorption,2
1031,Te,0.34299999999999997,eV,Absorption,2
1032,Te,0.32,eV,Absorption,2
1033,Te,0.32,eV,Absorption,2
1034,Te,0.33,eV,Thermal activation,2
1035,Te1I1,1.1,eV,Thermal activation,1
1036,I,1.3,eV,Absorption,1
1037,I,1.68,eV,Absorption,2
1038,I,1.6,eV,Thermal activation,2
1039,I,1.5,eV,Absorption,2
1040,Cs1F1,10.0,eV,Absorption,1
1042,Cs1Cl1,8.1,eV,Absorption,1
1043,Cs1Cl1,7.8,eV,Absorption,2
1044,Cs1Cl1,7.4,eV,Estimated,2
1045,Cs3As1,0.6,eV,,1
1046,Cs1Br1,7.18,eV,Estimated,1
1047,Cs1Br1,6.9,eV,Estimated,2
1048,Cs1Br1,6.8,eV,Absorption,2
1049,Cs3Sb1,1.6,eV,Absorption,1
1050,Cs3Sb1,1.6,eV,,2
1051,Cs3Sb1,1.6,eV,,2
1052,Cs3Sb1,1.6,eV,,2
1053,Cs3Sb1,2.25,eV,Absorption,2
1054,Cs2Te1,3.5,eV,,1
1055,Cs1I1,6.37,eV,Absorption,1
1056,Cs1I1,6.3,eV,Absorption,2
1057,Cs1I1,6.4,eV,,2
1058,Cs1I1,6.2,eV,Estimated,2
1059,Cs1Bi2,0.55,eV,Absorption,1
1060,Cs3Bi1,0.55,eV,Absorption,1
1061,Cs3Bi1,0.7,eV,Absorption,2
1062,Ba1O1,5.13,eV,Estimated,1
1063,Ba1O1,3.8,eV,Absorption,2
1064,Ba1O1,4.8,eV,Absorption,2
1065,Ba1F2,9.06,eV,Absorption,1
1066,Ba1S1,3.88,eV,Absorption,1
1067,Ba1S1,3.9,eV,Absorption,2
1068,Ba1Se1,3.6,eV,Absorption,1
1069,Ba1Se1,3.58,eV,Absorption,2
1070,Ba1Te1,3.4,eV,Estimated,1
1072,La1B6,0.08,eV,Reflection,1
1073,La1B6,4.9,eV,Reflection,2
1074,La1B6,4.1,eV,Absorption,2
1075,La2O3,1.05,eV,Thermal activation,1
1076,La2O3,2.86,eV,,2
1077,La1F3,6.6,eV,Absorption,1
1078,La2S3,1.32,eV,Thermal activation,1
1080,La2Se3,1.97,eV,Reflection,1
1081,La2Se3,1.7,eV,Thermal activation,2
1082,La1Sb1,0.8,eV,Absorption,1
1083,La2Te3,0.1,eV,Thermal activation,1
1084,La3Te4,0.43,eV,Thermal activation,1
1085,Ce1N1,0.7,eV,Estimated,1
1086,Ce1O2,2.68,eV,Thermal activation,1
1087,Ce1O2,2.0,eV,,2
1088,Ce1O2,5.5,eV,Absorption,2
1089,Ce1O2,1.1,eV,Thermal activation,2
1090,Ce1F3,4.85,eV,Absorption,1
1091,Ce2S3,1.12,eV,,1
1092,Ce2Se3,1.75,eV,Reflection,1
1093,Ce2Se3,1.62,eV,Thermal activation,2
1094,Ce2Se3,2.0,eV,Thermal activation,2
1095,Ce2Te3,1.4,eV,Thermal activation,1
1096,Pr1B6,4.9,eV,Reflection,1
1097,Pr1O2,0.66,eV,Thermal activation,1
1098,Pr2O3,0.84,eV,Thermal activation,1
1099,Pr1O2,0.88,eV,,2
1100,PrO,0.55,eV,Thermal activation,2
1101,Pr1F3,5.9,eV,Absorption,1
1102,Pr1F3,5.3,eV,Absorption,2
1103,Pr1As1,1.0,eV,Absorption,1
1104,Pr2Se3,1.8,eV,Reflection,1
1105,Pr2Se3,1.9,eV,Thermal activation,2
1106,Pr1Sb1,0.66,eV,Absorption,1
1107,Pr1Te2,1.02,eV,Absorption,1
1108,Pr1Te2,1.288,eV,Absorption,1
1109,Pr2Te3,1.3,eV,Absorption,1
1110,Nd1B6,4.9,eV,Reflection,1
1111,Nd1B6,3.4,eV,Absorption,2
1112,Nd1B6,4.0,eV,Absorption,2
1113,Nd2O3,0.97,eV,Thermal activation,1
1114,Nd1F3,6.15,eV,Absorption,1
1115,Nd2S3,3.0,eV,Thermal activation,1
1116,Nd1As1,1.04,eV,Absorption,1
1117,Nd2Se3,1.7,eV,Reflection,1
1118,Nd2Te5,0.29,eV,Thermal activation,1
1119,Nd1Te2,0.3,eV,Thermal activation,1
1120,Nd4Te7,0.38,eV,Thermal activation,1
1121,Nd2Te3,1.12,eV,Thermal activation,1
1122,Nd1Te2,0.48,eV,,2
1123,Sm1B6,4.9,eV,Reflection,1
1124,Sm2O3,1.17,eV,Thermal activation,1
1125,Sm2O3,2.27,eV,,2
1126,Sm1P1,1.09,eV,Absorption,1
1127,Sm1S1,0.22,eV,Thermal activation,1
1128,Sm2S3,3.0,eV,Reflection,1
1129,Sm1S1,0.2,eV,Absorption,2
1130,Sm2S3,3.0,eV,Thermal activation,2
1131,Sm1As1,1.03,eV,Absorption,1
1132,Sm1Se1,0.46,eV,Absorption,1
1133,Sm2Se3,2.3,eV,Reflection,1
1134,Sm2Se3,2.3,eV,Thermal activation,2
1135,Sm1Sb1,0.59,eV,Absorption,1
1136,Sm1Te1,0.62,eV,Absorption,1
1137,Eu1N1,1.25,eV,Thermal activation,1
1138,Eu1N1,1.47,eV,Estimated,2
1139,Eu1O1,1.122,eV,Absorption,1
1140,Eu3O4,0.6,eV,Thermal activation,1
1141,Eu2O3,1.7,eV,Thermal activation,1
1142,Eu1O1,1.115,eV,Reflection,2
1143,Eu1O1,1.1,eV,Thermal activation,2
1144,Eu1O1,4.3,eV,Photoconduction,2
1145,Eu2O3,1.84,eV,Thermal activation,2
1146,Eu3P2,1.2,eV,Absorption,1
1147,Eu1S1,1.645,eV,Absorption,1
1148,Eu3S4,0.163,eV,Thermal activation,1
1149,Eu1S1,1.645,eV,Absorption,2
1150,Eu1S1,1.65,eV,Reflection,2
1151,Eu1S1,1.69,eV,Absorption,2
1152,Eu1S1,3.1,eV,Absorption,2
1153,Eu3As2,0.6,eV,Thermal activation,1
1154,Eu1Se1,1.78,eV,Reflection,1
1155,Eu1Se1,1.78,eV,Absorption,2
1156,Eu1Se1,1.78,eV,Reflection,2
1157,Eu1Se1,1.8,eV,Photoconduction,2
1158,Eu1Se1,1.87,eV,Absorption,2
1159,Eu1Se1,3.1,eV,Absorption,2
1160,Eu1Te1,1.959,eV,Absorption,1
1161,Eu1Te1,2.0,eV,Reflection,2
1162,Eu1Te1,2.0,eV,Absorption,2
1163,Gd1B6,3.6,eV,Absorption,1
1164,Gd1N1,1.54,eV,Absorption,1
1165,Gd2O3,1.36,eV,Thermal activation,1
1166,Gd2O3,2.9,eV,Thermal activation,2
1167,Gd1As1,0.63,eV,Absorption,1
1168,Gd1Te1,1.3,eV,,1
1169,Tb1O2,0.5,eV,Thermal activation,1
1170,Tb2O3,0.95,eV,Thermal activation,1
1171,Tb4O7,0.4,eV,Thermal activation,1
1172,Tb2O3,0.86,eV,,2
1174,Dy1B6,3.3,eV,Absorption,1
1175,Dy1N1,2.6,eV,Absorption,1
1176,Dy1N1,2.1,eV,Absorption,2
1177,Dy2O3,3.08,eV,Thermal activation,1
1178,Dy2O3,1.39,eV,,2
1179,Dy2S3,2.91,eV,Absorption,1
1180,Dy2S3,3.0,eV,Thermal activation,2
1181,Dy1As1,1.0,eV,Absorption,1
1182,Ho1N1,1.79,eV,Absorption,1
1183,Ho1N1,1.9,eV,Absorption,2
1184,Ho2O3,2.84,eV,Thermal activation,1
1185,Er1B6,3.5,eV,Absorption,1
1186,Er1N1,2.4,eV,Absorption,1
1187,Er1N1,3.0,eV,Absorption,2
1188,Er2O3,3.26,eV,Thermal activation,1
1189,Er2O3,1.4,eV,,2
1190,Er1Se2,1.07,eV,Thermal activation,1
1191,Er2Se3,1.66,eV,Thermal activation,1
1192,Er3Te4,0.9,eV,Thermal activation,1
1193,Er1Te1,0.9,eV,Thermal activation,1
1194,Er2Te3,0.9,eV,Thermal activation,1
1195,Tm1As1,1.18,eV,Absorption,1
1196,Yb2O3,2.99,eV,Thermal activation,1
1197,Yb2O3,1.53,eV,Thermal activation,2
1198,YbS,0.33,eV,Thermal activation,1
1199,YbS,0.17600000000000002,eV,Thermal activation,2
1200,Yb1As1,1.02,eV,Absorption,1
1201,Yb1Sb1,1.0,eV,Absorption,1
1202,Lu2O3,3.94,eV,Thermal activation,1
1203,Hf1O2,5.55,eV,,1
1204,Hf1S2,1.96,eV,Absorption,1
1205,Hf1S3,2.8,eV,Absorption,1
1206,Hf1S2,2.9,eV,Reflection,1
1207,Hf1S3,2.85,eV,Photoconduction,2
1208,Hf1Se2,1.13,eV,Absorption,1
1209,Hf1Se2,2.2,eV,Reflection,1
1210,TaN,2.3,eV,Absorption,1
1211,Ta2O5,4.6,eV,Photoconduction,1
1212,Ta1S2,0.1,eV,Thermal activation,1
1213,W1O3,2.8,eV,,1
1214,W1O3,2.7,eV,Absorption,2
1215,W1O3,2.9,eV,,2
1216,W1S2,1.1,eV,,1
1217,W1S2,0.45,eV,Thermal activation,2
1218,W1Se2,1.35,eV,Absorption,1
1219,W1Se2,1.49,eV,,2
1220,W1Se2,1.45,eV,Absorption,2
1221,W1Se2,1.35,eV,,2
1222,W1Se2,1.57,eV,Absorption,2
1223,W1Te2,0.05,eV,Thermal activation,1
1224,W1Te2,0.075,eV,Thermal activation,2
1225,Re1O3,2.3,eV,Reflection,1
1226,Re1Si2,0.12,eV,Thermal activation,1
1227,Re1S2,1.1,eV,Photoconduction,1
1228,Re1Se2,0.99,eV,Thermal activation,1
1229,Os1P2,1.2,eV,Reflection,1
1230,Os1S2,2.0,eV,Reflection,1
1231,Os1As2,0.9,eV,Reflection,1
1232,Os1Sb2,0.2,eV,Thermal activation,1
1233,Os1Te2,0.3,eV,Thermal activation,1
1234,Ir1S2,0.9,eV,Absorption,1
1235,Ir1Se2,1.0,eV,Absorption,1
1236,Pt1O2,0.2,eV,Thermal activation,1
1237,Pt1P2,0.8,eV,Thermal activation,1
1238,Pt1P2,0.6,eV,Thermal activation,2
1239,Pt1S1,0.8,eV,Absorption,1
1240,Pt1S2,0.75,eV,,1
1241,Pt1As2,0.55,eV,Thermal activation,1
1242,Pt1As2,0.5,eV,Thermal activation,2
1243,Pt1Se2,0.1,eV,,1
1244,Pt1Sb2,0.11,eV,Absorption,1
1245,Pt1Sb2,0.11,eV,,2
1246,Pt1Sb2,0.11199999999999999,eV,,2
1247,Pt1Sb2,0.11,eV,Absorption,2
1248,Pt1Sb2,0.07,eV,,2
1250,Hg1O1,2.48,eV,Reflection,1
1251,Hg1O1,2.214,eV,Reflection,2
1252,Hg1O1,1.02,eV,Thermal activation,2
1253,Hg1O1,1.18,eV,Thermal activation,2
1254,Hg1S1,0.54,eV,Absorption,1
1255,Hg1S1,1.9980000000000002,eV,Absorption,1
1256,Hg1S1,2.1830000000000003,eV,Absorption,2
1257,Hg1S1,2.16,eV,Absorption,2
1258,Hg1S1,2.095,eV,Estimated,2
1259,Hg1S1,0.7,eV,Reflection,2
1260,Hg1S1,2.21,eV,Reflection,2
1261,Hg2Cl2,3.5,eV,Reflection,1
1262,Hg2Cl2,3.8,eV,Reflection,2
1263,Hg2Cl2,2.84,eV,Absorption,2
1264,Hg1Cl2,4.45,eV,Absorption,2
1265,Hg1Se1,0.24,eV,Magnetoreflection,1
1266,Hg1Se1,0.6,eV,Reflection,2
1267,Hg1Se1,0.07,eV,,2
1268,Hg1Se1,0.1,eV,Thermal activation,2
1269,Hg2Br2,2.6,eV,Absorption,1
1270,Hg1Br2,3.59,eV,Absorption,1
1271,Hg1Te1,0.175,eV,Thermal activation,1
1272,Hg1Te1,0.303,eV,Magnetoreflection,2
1273,Hg1Te1,0.266,eV,Magnetoreflection,2
1274,Hg1Te1,0.28300000000000003,eV,Magnetoreflection,2
1275,Hg1Te1,0.15,eV,Reflection,2
1276,Hg1Te1,0.19,eV,,2
1277,Hg1I2,2.13,eV,Reflection,1
1278,Hg1I2,2.33,eV,,2
1279,Hg1I2,2.47,eV,,2
1280,Hg1I2,2.322,eV,Absorption,2
1281,Hg1I2,2.29,eV,Electroreflection,2
1282,Hg1I2,2.29,eV,Reflection,2
1283,Hg1I2,3.045,eV,Reflection,2
1284,Hg1I2,2.795,eV,Reflection,2
1285,Hg1I2,2.095,eV,Photoconduction,2
1286,Hg1I2,2.11,eV,Absorption,2
1287,Hg1I2,2.35,eV,Absorption,2
1288,Hg1I2,2.315,eV,Reflection,2
1289,Hg1I2,2.19,eV,Absorption,2
1290,Hg2I2,2.37,eV,Absorption,2
1291,Tl1N3,3.58,eV,Absorption,1
1292,Tl2O3,1.4,eV,Absorption,1
1293,Tl2O3,2.25,eV,Absorption,1
1294,Tl1S1,1.36,eV,Reflection,1
1295,Tl1S1,0.98,eV,Thermal activation,2
1296,Tl2S1,0.59,eV,Photoconduction,2
1297,Tl2S1,0.19,eV,Photoconduction,2
1298,Tl1Cl1,3.56,eV,Absorption,1
1299,Tl1Cl1,3.468,eV,Absorption,2
1300,Tl1Cl1,3.46,eV,Absorption,2
1301,Tl1Cl1,3.5,eV,Absorption,2
1302,Tl1Se1,0.73,eV,Absorption,1
1303,Tl1Se1,0.57,eV,,2
1304,Tl1Se1,0.96,eV,Absorption,2
1305,Tl1Se1,0.67,eV,Photoconduction,2
1306,Tl1Se1,0.7,eV,Absorption,2
1307,Tl1Se1,0.84,eV,Thermal activation,2
1308,Tl1Se1,0.74,eV,Reflection,2
1309,Tl1Br1,3.05,eV,Reflection,1
1310,Tl1Br1,3.115,eV,Absorption,2
1311,Tl1Br1,3.073,eV,Absorption,2
1312,Tl1Br1,3.1,eV,Absorption,2
1313,Tl2Te3,0.7,eV,Absorption,1
1314,Tl2Te1,0.5,eV,Thermal activation,1
1315,Tl2Te3,0.69,eV,Thermal activation,2
1316,Tl2Te3,0.48,eV,Thermal activation,2
1317,Tl2Te3,0.2,eV,Thermal activation,2
1318,Tl1I1,2.67,eV,Absorption,1
1319,Tl1I1,2.88,eV,Absorption,2
1320,Pb1N6,3.02,eV,Absorption,1
1321,Pb1N6,2.98,eV,Photoconduction,2
1322,Pb1O1,1.936,eV,Absorption,1
1323,Pb1O1,2.76,eV,Absorption,1
1324,Pb1O1,2.84,eV,Absorption,1
1325,Pb2O3,1.67,eV,Absorption,1
1326,Pb1O2,1.7,eV,,1
1327,Pb1O2,2.0,eV,,1
1328,Pb3O4,2.12,eV,Absorption,1
1329,Pb1O1,2.88,eV,Absorption,2
1330,Pb1O1,2.86,eV,Absorption,2
1331,Pb1O1,2.66,eV,Absorption,2
1332,Pb1O1,2.73,eV,Absorption,2
1333,Pb1O2,1.4,eV,Absorption,2
1334,Pb1O2,1.45,eV,Absorption,2
1335,Pb1O2,1.5,eV,,2
1336,Pb1O1,2.0,eV,Absorption,2
1337,Pb1O2,2.0,eV,,2
1338,Pb1O1,2.6,eV,Absorption,2
1339,Pb1O1,2.73,eV,Reflection,2
1340,Pb1O1,3.18,eV,,2
1341,Pb1O1,3.36,eV,,2
1342,Pb1S1,0.41,eV,Reflection,1
1343,Pb1S1,0.28600000000000003,eV,Magnetoabsorption,2
1344,Pb1S1,0.307,eV,Magnetoabsorption,2
1345,Pb1S1,0.285,eV,Reflection,2
1346,Pb1S1,0.44,eV,Reflection,2
1347,Pb1S1,0.281,eV,,2
1348,Pb1S1,0.3,eV,,2
1349,Pb1S1,0.37,eV,Absorption,2
1350,Pb1S1,0.41,eV,Absorption,2
1351,Pb1S1,0.307,eV,Magnetoabsorption,2
1352,Pb1Cl2,3.82,eV,Absorption,1
1353,Pb1Cl2,3.94,eV,Absorption,2
1354,Pb1Cl2,4.1,eV,Reflection,2
1355,Pb1Se1,0.27,eV,Reflection,1
1356,Pb1Se1,0.165,eV,Magnetoabsorption,2
1357,Pb1Se1,0.165,eV,Magnetoabsorption,2
1358,Pb1Se1,0.165,eV,Absorption,2
1359,Pb1Se1,0.17600000000000002,eV,Magnetoabsorption,2
1360,Pb1Se1,0.17600000000000002,eV,Magnetoabsorption,2
1361,Pb1Se1,0.26,eV,Absorption,2
1362,Pb1Se1,0.27,eV,Reflection,2
1363,Pb1Se1,0.275,eV,Absorption,2
1364,Pb1Se1,0.29,eV,Absorption,2
1365,Pb1Se1,0.31,eV,Reflection,2
1366,Pb1Se1,0.14,eV,,2
1367,Pb1Br2,3.2,eV,Absorption,1
1368,Pb1Br2,3.5,eV,Absorption,2
1369,Pb1Br2,3.23,eV,Absorption,2
1370,Pb1Br2,3.31,eV,Reflection,2
1371,Pb1Te1,0.31,eV,Reflection,1
1372,Pb1Te1,0.185,eV,Photoconduction,2
1373,Pb1Te1,0.19,eV,Absorption,2
1374,Pb1Te1,0.19,eV,Magnetoabsorption,2
1375,Pb1Te1,0.21,eV,Reflection,2
1376,Pb1Te1,0.21,eV,Photoconduction,2
1377,Pb1Te1,0.217,eV,Magnetoabsorption,2
1378,Pb1Te1,0.19,eV,Reflection,2
1379,Pb1Te1,0.29,eV,Reflection,2
1380,Pb1Te1,0.31,eV,Photoconduction,2
1381,Pb1Te1,0.34,eV,Reflection,2
1382,Pb1Te1,0.191,eV,,2
1383,Pb1Te1,0.29,eV,Absorption,2
1384,Pb1Te1,0.32,eV,Absorption,2
1385,Pb1I2,2.32,eV,Absorption,1
1386,Pb1I2,2.41,eV,,2
1387,Pb1I2,2.535,eV,,2
1388,Pb1I2,3.01,eV,Absorption,2
1389,Pb1I2,2.32,eV,Absorption,2
1390,Pb1I2,2.36,eV,Reflection,2
1391,Bi2O3,2.6,eV,Absorption,1
1392,Bi2O3,2.91,eV,Absorption,1
1393,Bi2O3,3.1,eV,Absorption,2
1394,Bi2O3,2.15,eV,Thermal activation,2
1395,Bi2O3,2.58,eV,Photoconduction,2
1396,Bi2O3,2.85,eV,Absorption,2
1397,Bi2O3,2.86,eV,Reflection,2
1398,Bi2O3,2.07,eV,Thermal activation,2
1399,Bi2O3,2.85,eV,Photoconduction,2
1401,Bi2S3,1.2,eV,Absorption,1
1402,Bi2S3,1.4,eV,Absorption,2
1403,Bi2S3,1.3,eV,Absorption,2
1404,Bi2S3,0.72,eV,Thermal activation,2
1405,Bi2S3,1.3,eV,Absorption,2
1406,Bi2Se3,0.21,eV,Absorption,1
1407,Bi2Se3,0.4,eV,Absorption,2
1408,Bi2Se3,0.35,eV,Absorption,2
1409,Bi2Se3,0.35,eV,Absorption,2
1410,Bi2Se3,0.161,eV,Absorption,2
1411,Bi1Br3,2.66,eV,Absorption,1
1412,Bi1Sb1,0.023,eV,Magnetoreflection,2
1413,Bi0.85Sb0.15,0.008,eV,,2
1414,Bi0.97Sb0.03,0.022000000000000002,eV,,2
1415,Bi0.9Sb0.1,0.024,eV,,2
1416,Bi0.85Sb0.15,0.006999999999999999,eV,Thermal activation,2
1417,Bi0.92Sb0.08,0.006999999999999999,eV,Thermal activation,2
1418,Bi0.7Sb0.3,0.008,eV,Thermal activation,2
1419,Bi0.85Sb0.15,0.01,eV,Thermal activation,2
1420,Bi0.91Sb0.09,0.01,eV,Thermal activation,2
1421,Bi0.92Sb0.08,0.011000000000000001,eV,Thermal activation,2
1422,Bi0.9Sb0.1,0.012,eV,Thermal activation,2
1423,Bi0.9Sb0.1,0.013999999999999999,eV,Magnetoreflection,2
1424,Bi0.88Sb0.12,0.013999999999999999,eV,Thermal activation,2
1425,Bi0.9Sb0.1,0.015,eV,Thermal activation,2
1426,Bi0.87Sb0.13,0.018000000000000002,eV,Thermal activation,2
1427,Bi1Sb0.15,0.022000000000000002,eV,Magnetoreflection,2
1428,Bi2Te3,0.145,eV,Absorption,1
1429,Bi2Te3,0.15,eV,,2
1430,Bi2Te3,0.13,eV,Absorption,2
1431,Bi2Te3,0.14,eV,Thermal activation,2
1432,Bi2Te3,0.16,eV,,2
1433,Bi2Te3,0.15,eV,Absorption,2
1434,Bi2Te3,0.153,eV,Thermal activation,2
1435,Bi2Te3,0.171,eV,Thermal activation,2
1436,Bi2Te3,0.2,eV,,2
1437,Bi1I3,1.73,eV,Absorption,1
1438,Bi1I3,2.195,eV,,1
1439,Bi1I3,2.03,eV,Absorption,2
1440,Bi1I3,2.029,eV,Absorption,2
1441,Bi1I3,1.922,eV,Absorption,2
1442,Bi1I3,1.81,eV,Absorption,2
1443,Bi1I3,1.93,eV,Absorption,2
1444,Bi1I3,2.52,eV,,2
1445,Bi,0.015,eV,Magnetoreflection,1
1446,Bi,0.024,eV,Magnetoabsorption,2
1447,Bi,0.006,eV,Thermal activation,2
1448,Th1O2,5.75,eV,,1
1449,Th1O2,3.5,eV,Absorption,1
1450,Th1O2,2.56,eV,Thermal activation,2
1451,Th1O2,3.3,eV,Absorption,2
1452,Th1O2,5.02,eV,Absorption,2
1453,Th1O2,3.2,eV,,2
1454,Th1O2,3.3,eV,Reflection,2
1455,UO,1.5,eV,Thermal activation,1
1456,U1O2,2.18,eV,Absorption,1
1457,UO,0.6,eV,Thermal activation,2
1458,U1O2,1.3,eV,Thermal activation,2
